// This file is almost automatically generated by the tools in
// build-tools/enumification-helpers. See README.md there for details.
//
// Each line represents: [API], [C#NS], [C#type], [Java], [value]
//	API - Platform Name (API Level) Since.
//	C#NS - C# namespace.
//	C#type - C# type. Dotted for nested types.
//  java - Java constant, in JNI-ish specification: Package/Type.Field, where
//			- package names are split by '/' and
//			- nested type names are split by '$'.
//  value - constant integer value
//
// First couple of lines were manually edited mappings (historical, and/or
// cannot be generated by tool for various reasons). The rest are autogenerated.

// this cannot be automatically generated, too exceptional...
20,Android.App.WearableSizePreset,Small,android/app/Notification.WearableExtender.SIZE_SMALL,2
20,Android.App.WearableSizePreset,Xsmall,android/app/Notification.WearableExtender.SIZE_XSMALL,1
10,Android.App.PendingIntentFlags,CancelCurrent,android/app/PendingIntent.FLAG_CANCEL_CURRENT,268435456
23,Android.App.PendingIntentFlags,Immutable,android/app/PendingIntent.FLAG_IMMUTABLE,67108864
10,Android.App.PendingIntentFlags,NoCreate,android/app/PendingIntent.FLAG_NO_CREATE,536870912
10,Android.App.PendingIntentFlags,OneShot,android/app/PendingIntent.FLAG_ONE_SHOT,1073741824
10,Android.App.PendingIntentFlags,UpdateCurrent,android/app/PendingIntent.FLAG_UPDATE_CURRENT,134217728
10,Android.App.ProgressDialogStyle,Horizontal,android/app/ProgressDialog.STYLE_HORIZONTAL,1
10,Android.App.ProgressDialogStyle,Spinner,android/app/ProgressDialog.STYLE_SPINNER,0
10,Android.App.StartCommandResult,ContinuationMask,android/app/Service.START_CONTINUATION_MASK,15
10,Android.App.StartCommandResult,NotSticky,android/app/Service.START_NOT_STICKY,2
10,Android.App.StartCommandResult,RedeliverIntent,android/app/Service.START_REDELIVER_INTENT,3
10,Android.App.StartCommandResult,Sticky,android/app/Service.START_STICKY,1
10,Android.App.StartCommandResult,StickyCompatibility,android/app/Service.START_STICKY_COMPATIBILITY,0
10,Android.App.StartCommandFlags,Redelivery,android/app/Service.START_FLAG_REDELIVERY,1
10,Android.App.StartCommandFlags,Retry,android/app/Service.START_FLAG_RETRY,2
15,Android.App.Admin.EncryptionStatus,Activating,android/app/admin/DevicePolicyManager.ENCRYPTION_STATUS_ACTIVATING,2
15,Android.App.Admin.EncryptionStatus,Active,android/app/admin/DevicePolicyManager.ENCRYPTION_STATUS_ACTIVE,3
23,Android.App.Admin.EncryptionStatus,ActiveDefaultKey,android/app/admin/DevicePolicyManager.ENCRYPTION_STATUS_ACTIVE_DEFAULT_KEY,4
24,Android.App.Admin.EncryptionStatus,ActivePerUser,android/app/admin/DevicePolicyManager.ENCRYPTION_STATUS_ACTIVE_PER_USER,5
15,Android.App.Admin.EncryptionStatus,Inactive,android/app/admin/DevicePolicyManager.ENCRYPTION_STATUS_INACTIVE,1
15,Android.App.Admin.EncryptionStatus,Unsupported,android/app/admin/DevicePolicyManager.ENCRYPTION_STATUS_UNSUPPORTED,0
10,Android.App.Admin.PasswordQuality,Alphabetic,android/app/admin/DevicePolicyManager.PASSWORD_QUALITY_ALPHABETIC,262144
10,Android.App.Admin.PasswordQuality,Alphanumeric,android/app/admin/DevicePolicyManager.PASSWORD_QUALITY_ALPHANUMERIC,327680
15,Android.App.Admin.PasswordQuality,BiometricWeak,android/app/admin/DevicePolicyManager.PASSWORD_QUALITY_BIOMETRIC_WEAK,32768
15,Android.App.Admin.PasswordQuality,Complex,android/app/admin/DevicePolicyManager.PASSWORD_QUALITY_COMPLEX,393216
10,Android.App.Admin.PasswordQuality,Numeric,android/app/admin/DevicePolicyManager.PASSWORD_QUALITY_NUMERIC,131072
21,Android.App.Admin.PasswordQuality,NumericComplex,android/app/admin/DevicePolicyManager.PASSWORD_QUALITY_NUMERIC_COMPLEX,196608
10,Android.App.Admin.PasswordQuality,Something,android/app/admin/DevicePolicyManager.PASSWORD_QUALITY_SOMETHING,65536
10,Android.App.Admin.PasswordQuality,Unspecified,android/app/admin/DevicePolicyManager.PASSWORD_QUALITY_UNSPECIFIED,0
26,Android.App.Admin.SecurityPatchStates,StateFalse,android/app/admin/SystemUpdateInfo.SECURITY_PATCH_STATE_FALSE,1
26,Android.App.Admin.SecurityPatchStates,StateTrue,android/app/admin/SystemUpdateInfo.SECURITY_PATCH_STATE_TRUE,2
26,Android.App.Admin.SecurityPatchStates,StateUnknown,android/app/admin/SystemUpdateInfo.SECURITY_PATCH_STATE_UNKNOWN,0
21,Android.App.Job.BackoffPolicy,Exponential,android/app/job/JobInfo.BACKOFF_POLICY_EXPONENTIAL,1
21,Android.App.Job.BackoffPolicy,Linear,android/app/job/JobInfo.BACKOFF_POLICY_LINEAR,0
